id,feet,median
sg:95cdb7ea8903433c80e2991f8b69ec44,12488,17.0
sg:c0076301763f44bcb17ff896f02c68e5,45037,20.0
sg:fa077223c2d342ec853695d0cceca791,28014,54.0
sg:b6137fa6b6fa4ea888723b85f1f2a587,11646,13.0
sg:b1d7c5e44f9046129da832db3a5ac4b9,2132,34.0
sg:6645d3c3e35b4625b4c065505bb699d9,39499,98.0
sg:e4a6647312a24075abbff30c76952102,9749,20.5
sg:6baca9d907574c139bbb0157808b2e4d,11775,86.0
sg:e8a18ceadb76410ba99b1922affb1950,5282,20.0
sg:f0f6b1c851684da486bcb8d747df5a06,29300,43.0
sg:15812c10b81c49648a5bdc5090f14419,1414,64.5
sg:ee0b516702d849ab8d8b84d9b2680401,5032,38.5
sg:2e59d54f4eee492d9e47e053ad4fddd3,30273,18.0
sg:df49d2bb5e084231815d1323b646d50e,32183,24.0
sg:5d13c1c23c51483f8b8885b783f75feb,32115,22.0
sg:5778e9615dd94cc2b166477f075db41d,125676,100.0
sg:efbba2bc2a65469dada74cabbbb166a9,16220,144.0
sg:73875176230d49ab9ce15d212ade43a1,7034,13.0
sg:5d9f54e83a1a43ef99e1048f69f7d37a,1557,36.0
sg:16c117113abe4f0d93a5c68fa718badc,12892,190.5
sg:82853b8010924477893401bb41e54e8b,19255,77.75
sg:f62da8b2392e45a3bc05360491a4cb08,10144,18.0
sg:df55e8653f844e9fb0098c112bccfe91,24222,15.0
sg:3dfa99c734824279a1f33cdb44692425,13756,23.0
sg:510df0c2161f41bd9068d164b8e4a3e6,2177,296.0
sg:46984a954776467e9d2e4a7ccae4e71a,3659,21.5
sg:a71037ca09e84969afb4ab23c53677fc,23209,59.0
sg:69b8e4fe60d54e70b5bc25e2bff5c169,2494,83.5
sg:2fd306c846c24de0a4e77afb81fcaa73,37421,83.0
sg:e16478760c214af197ff849d46a4de84,14408,8.0
sg:8742ed55370b4f62adaf6623ce2d70c1,31839,22.0
sg:95cc935dc9fb4bd3a5ebd19ccd559739,2875,135.0
sg:bfc431ea06804fe8b32716901980d38b,8999,37.0
sg:16bbdf4df5ef447299c116c47f80fe32,2881,22.0
sg:560db98563364ee88e0a4c9dd8a96826,46657,181.0
sg:37c55506606144d2a1ab2a96c4d2c389,4108,10.0
sg:8650a7dbfba242fbb9301393e7d84b9e,92167,24.5
sg:8eda204ca63546f7a529ffec912f7096,74206,8.0
sg:93ee7681f96c4a759cd2a82ced96616a,49638,77.0
sg:389e2ed52a10467d93a547664bc5b915,2630,22.0
sg:6005b81f17454c2dbda84db28eab6b62,20050,25.0
sg:d4a99f84ed4b47b393a26499d93271fa,41874,37.5
sg:ce2830ec90a044f89cec7e2d91a607d7,1157,21.0
sg:e0bdb4970530457e88a809b250c2464c,26545,20.0
sg:8ea77a4c7482446e86e434faa30a078f,91748,59.0
sg:3aa5b86486d34f87bd0f3cada12d4b1a,8472,103.5
