id,feet,median
sg:72bb6311b02240718805d72dd0a5aa4d,27669,12.0
sg:7eef071822004e53a35835e28a828407,3154,26.5
sg:6b161e9228cf4fd694d1d4535e8776e4,8316,13.0
sg:16acc9feef55435cb4a326bdc80cd230,8949,13.0
sg:472a5923a5d0466486303d5c21e05278,9418,19.0
sg:cc2c788cc85f4d729af39049101f0331,7966,12.0
sg:8d39138cd8014224a2b93ea978521fe3,48702,64.0
sg:d95d76ee46ba41ee8017d6fccade1411,8253,10.0
sg:b1baaa95a1d34234a3a3c890b8d1c64a,31364,12.0
sg:a3e3d6fc562f492eb41f4b0a8bbc726e,34484,24.0
sg:de97717087e34da38ab9fbc02c077096,10113,16.0
sg:ce72419d387744e5a1a00ae9cc66dceb,7596,33.0
sg:ebd83b563fba4f7e98c1c0ac15886cfd,43975,21.0
sg:d3631f06f6194cf4b4a3dc34fdf089d4,24575,20.0
sg:ef94ff9f6c754437b5353bf5e7826c27,202951,22.0
sg:d740d9e8abce487dbd71bf8c22d2d80c,17361,19.5
sg:3a22a3c67bb64190a2828b96c34173bf,133922,94.0
sg:5a26c3d5c9f5498f9272afdc76573679,8935,15.0
sg:e94642773f1d45a5a7ac5aff5d925fd0,45159,21.0
sg:439de6e57acf449fac2241a39355399f,2212,11.0
sg:4b00f4c7d33546aea2d9b77f390e5458,9610,11.0
sg:bbb527da3bc54084b1128c2668d2249c,14828,20.0
sg:f97cb7378c1741c89b8d412070675028,4822,18.0
sg:89a747ef1f9240d7ac39971c052df95b,9538,10.0
sg:7abb9006e1324e6fb1c14bd42fbfd2e6,154152,23.0
sg:05fde61f954b472ba315bf5a49686b55,10008,13.0
sg:2547a7e2f21545bb9f481de06ee96037,83071,17.0
sg:72ff4ec6b4124d6d9a87ad51aad69a04,8721,10.0
sg:9a86ae89ae0d46669cf7e3cfcf0d2dfa,9108,14.0
sg:53f793b3def3451da56f366b3509a7f0,233642,21.0
sg:3e274b121a21401d81ab500ed9d1c78b,2831,10.0
