id,feet,median
sg:83fcc7b5df594feb8719fb0dfc66a9c9,55467,36.5
sg:56dd9ba2202b459ab652a42fc1f370cc,80328,41.0
sg:29ddd69468b94ab0b9dd6e727bc41bc6,289923,40.0
sg:fbf9a96f3b72479aaf25b6d8bac60039,118153,25.0
sg:dfb6aa7f147649c79fa8c2527f8fbd5a,9699,81.5
sg:139ee6857cfc42058d0aba4ebce4e1f6,9615,16.5
sg:2546187f7f454ded93fe3cea8f88234b,88538,21.0
sg:fa4cce8b6da64d92a86319a535bdccf5,21088,13.0
sg:6aff763f2bca47e8b14f5be1f76e1694,6689,65.5
sg:9cb6b929d310490b8afbad027013f71f,8614,12.0
sg:b8d429aeb8364d85b8ca52aca1cbff84,2397,9.0
sg:c1dfd2dba23e4ba4b1af1bd113c365f5,6323,12.0
sg:7895bdb95a64446aa50d23854bbc626b,8411,19.5
sg:ee280401c89a4d4886c74fe658fc2592,47592,22.0
sg:47f201abfe374c55920fe8122e9113cf,13314,15.0
sg:811483a3334441448830f9605ddb36ab,58218,17.5
sg:9b560e213aa74063be60095d2ca7b164,12672,13.0
sg:bd9e9484c22b4914a2bb57d7d3afc4fc,7817,11.0
sg:3fd77661898049688418bab156928cd1,16093,14.0
sg:3e314b01829d4a36abf71adc08a02d26,18183,14.0
sg:6a7a5480229e420fb589babe03904acb,6176,17.5
sg:27a06f2f5e3045e2b4a1b0297a71b480,10334,18.0
sg:1c63d214777d4ed8acf7a50739ee36a7,7776,12.5
sg:dc29e242419d4e6781cfefc72f4a1c56,8564,12.0
sg:cd6b0f32c40643faad0eaa259d7ec285,12724,12.0
sg:c528d4278acb45f1b0a73370b45df90c,89136,29.0
sg:965d50bdd1e642ac9b4010bf84eaed03,11507,13.0
sg:22bd3e0d848f465591f75fe85c32fbc8,203957,20.0
sg:35a5f7ab30a046bb9a9559dbd1cf0746,41839,21.0
sg:f8ef704c06714157b1bc76805706d7b5,9086,15.0
sg:8c27e17800744eb78b3c71e52fecf751,25333,39.0
sg:09cc6f749a6142049d17457003ac6a66,192800,23.5
sg:04692d9f68de49f79b7c1e44238f0d7b,9093,43.0
sg:5bd90f5493634193a1b0313be877a642,11829,11.0
sg:46585260f8464bca940ae0b8eecb8a88,118465,25.0
sg:c5daa6a4bde1454c9e5a012eee5a0a9f,8189,19.5
sg:3984b327b7bd4ceb9b7265fd5b542301,142997,24.0
sg:c0d23a2ee9ca42999ce7f280634f2eda,6330,20.0
sg:9ded13b2d8c94a4fae124610575686eb,8598,14.0
sg:5bf352e94fcc46f6b504eed4fb0c9627,42472,16.0
sg:fd81e16fb52344f98e73050d1bb83d26,3255,8.5
sg:d6a6675b95674ce6ba7c28a633279c27,7263,26.0
sg:734b833437954cf68ba076c860c5430e,5916,14.5
sg:c4fb2b69f00547068ba755ef0d5815b9,13305,10.0
sg:b616adca924b40eebb9e064986ddc83d,99984,16.5
sg:b4d40076f38c4ab899e4d51383d8955e,17215,12.0
sg:7fb827d2d30549c7ace5748efefd41e7,2049,45.0
sg:47c222b6dde0450688673304af43c63c,142678,23.0
sg:600d693445a64c6fa36061e0c7e1dbdf,16094,11.0
sg:49a24455b5d24e85a00773a170f57612,5686,11.5
sg:07e7299aa39a48b19b9a79787167190e,9212,11.5
sg:c2f9467fc09a4fc8b2dc110361567d5b,9602,9.0
sg:a397a83fce8041ae8c8c201f9ec5eeeb,10375,12.0
sg:0899546b78b8489faf529ff7796c4236,62499,33.0
sg:b54fe7526714443893ffebc3cd82498b,8291,21.0
sg:fd244751e10241a1aa2cb872947898bd,186066,11.0
sg:7e31579814a94a66b403d84f50358515,51737,23.0
sg:d1a4a60831ad486c88e13d43d832b880,647,11.0
sg:219f07274b3b4ba59be68f8d2231e912,12096,11.0
sg:68f25ae637c7406eaec527da8d108eb0,6065,13.5
sg:0ca5782aa93d41bc911ab0cab882cf34,13054,20.0
sg:b012ab56c4864d0897c5f05b64511fd3,11745,20.0
sg:986f8021e8c244db86f8d18c0695c820,8941,11.5
sg:c59925ce8d0c46a9956834d6f9bd0927,8305,12.0
sg:03b0df7bf3b94e3ab053fe81084464bb,8744,11.0
sg:c2c568cc0681454285942d1f1141b83e,12561,9.0
sg:7e679939fd304c4ea2a145835bb7d0f5,27818,21.0
sg:053548e2d1af4518a4715524e46e36fb,9187,12.5
sg:94ffe178417b4bf09701100071c6fd22,8158,13.0
sg:244ece6f6e2640be9ec0c7079a811476,37838,13.0
sg:4d63c53ab3ae4633891cef370ba6b1a6,214068,23.0
sg:961116f8244043be9862dafa1d87b4d8,11816,15.0
sg:04b3e009b1ba4a7098e9e6427ea3ef07,28852,15.5
sg:3429b73b2938422e913f070af008b470,6179,15.0
sg:e3069a3ae8b7408a97a196977dc14a58,8338,21.0
sg:3b44926d1d9f4764be9be42a1af14af5,8112,15.0
sg:ce3104d16c794527abea406f5dc29aaf,7624,11.0
sg:1d0e0cefa27b4851903fee462a68697c,212400,24.0
sg:fd34e10f240e444d897814f85d24fb62,72943,11.0
sg:60fe63d8875d42c98dc8694f20f9aab9,13900,16.0
sg:6e0b089a3327477fb7fc8f0423e1065d,1761,76.0
sg:5bbe56388a6f40b284c4d9c1099da5b0,16059,13.0
sg:c59567e121964f508b0e6a8a36568e36,2059,13.0
