id,feet,median
sg:8133a1de361f40879a76b8e0c0b01fcd,9237,14.0
sg:064266ef4f2e494b935b3cc7b181fd77,15039,11.0
sg:03381502274b437d8c79dc7595a46d60,136857,23.0
sg:68032410f6ea405fb4434592a0d4b91d,11965,10.0
sg:0f88927b05d845cdb371542760958573,74622,50.5
sg:fd54cf80e9124676a6943ff24d16f4ce,8453,10.0
sg:d7963bea7a1a4b23ad4a0dea4f2c4f21,9453,10.0
sg:c3da49cdcedd4d4f9db06022ce15205e,6473,20.0
sg:eb93a73465784c368024246bfc807919,9309,11.0
sg:797303614f68451bb2becfcf0a996365,11987,10.0
sg:8548d94526774ab2a7fff32583ad0626,9515,9.5
sg:c7da1498ab2749baa928aecc88e78338,23297,12.5
sg:548daf11fd114f4f9c846f0f37b6caca,27919,21.0
sg:9c3b9c73dd7c457a89dfa16523daa345,9792,15.0
sg:ae6ba48df12d469297ed159dca660cdb,10390,11.5
sg:c1b3b84540c946c89899dc30e7c3698b,48584,11.0
sg:e7e32245af614101918e0527f6ffb4a1,9720,10.0
sg:0d4a337a2c8344e4a0bb4cdaaabe34f5,33947,21.5
sg:5d422687bc214e04848a5f6855548f37,229957,24.0
sg:8e0e9a2228384b1c8e86d77e81bfdffa,11376,11.0
sg:c63e972e68e740ac9b49d00a3317c5c2,9612,11.0
sg:fad03e2a73944912b3094840ece32529,10009,13.0
sg:22f61fd9f992445285ba95cb8243899f,8549,10.0
sg:a98ea7c5d514462d801cc6958991abb9,7824,10.0
sg:a8badda058214ea0a54f6ba00cf4c4e7,12522,10.0
sg:519478ea913d4cb99ac3b9affd45bcdc,23570,15.0
sg:6a970e68763447b9af6ff0c42b990449,10738,10.5
sg:cfa0b605b177416b956d5d2c6688db5e,8651,12.0
sg:2dc65f4d1bb64017842d535a837cf94a,33355,11.0
sg:d8a5089031114ac683432d9f09c67ce6,34993,17.5
sg:ec997e01b6014fbf94cd0a27777c2044,8557,15.0
sg:b0c418ee9c4648689b291e213edccbd1,200044,23.0
sg:7adcb447019b426ab9655ce0fe848a59,9424,9.0
sg:df5e5217a5224dc1bd75aacfcad59df3,227645,24.0
sg:082a66c121994497acda7a9f1c350609,591612,23.0
sg:487cbb41e71e421a82b25ea2b3933ac0,67065,22.0
sg:727588c4b933463696136ed019a83045,24796,23.0
sg:94b41bcdb4084ee4b66580d3ab2109a5,5358,19.0
sg:055e686eec284630ba8e4acd8bcb07d8,18626,14.0
sg:6a316d179e13447daa8c89564d043abb,8092,10.0
sg:75919b0b81f24db4821301e99e9d8ad6,4056,6.0
sg:a600d31e20114826a6347eb4add149be,3059,9.0
sg:57d8b3c6ba1047b3bbefc6dd5d2ef443,6293,21.0
sg:93433893d68f4378b119c2ef6c201d83,10396,13.0
sg:cfb28ca9d9c34214a567c88441ce62f4,11586,20.0
sg:1c8f410947e14e8781a7f89968b8a301,116732,10.5
sg:3d12d94780ab4d5db5cede587aa76f05,3994,20.5
sg:1c49e09ffbb748768bcedd4de1c351e6,197246,21.0
sg:b5f6ccf246ca448dad7eb55cd8f2e70f,2923,24.0
sg:e4d6af22cb6842cbada4e37b0384dd55,8858,13.0
sg:9b1f8012d2ce49eb8823a63277d172ef,8816,12.0
sg:c9016803293a4000a0204d2bde90f7d6,18036,15.0
sg:c8486f2b0a9f4159a5462729cc81b5c0,10011,20.0
sg:d9a92a10bbfe41ccb104f49a3318b560,8515,11.0
sg:28490ad5317a4fa8a61e3e0f5bde5075,16989,37.0
sg:bbd290f5940540bfa518db4ead37dde2,183283,24.0
sg:46aafb0443d44c28baf603fd70d98d96,7641,13.0
sg:9a480c48c4be4bc68316e880ee7b5962,12125,11.0
sg:3d785c1103e849dd8baece9887bb4cc7,9263,9.0
