id,feet,median
sg:7d5eb8c661ed47e3974d10f8d2eaebe8,177689,26.0
sg:dc56efb4b6514f5497a5fdc97ada2918,12075,12.0
sg:3809c99573f44307ba4b2693057837d5,10993,11.5
sg:1767aab546e9488c935a34fede3505a3,11327,14.0
sg:59d4f8e14daf43caa0d88ec221839b38,9243,13.5
sg:d378c5f8e3e3458f99d93a72dd7aeef3,474063,28.0
sg:b32462ac59dc42cc9083c7454877b933,138550,25.0
sg:0c313b5dbd064e6aabbeed155a782332,5877,13.0
sg:dc18ff6046e34c24b2f818d98fdfded8,9390,19.5
sg:7bebeda3db214de4aba88f4c873f24be,13758,15.0
sg:245c386b23a94314b6591877a1d9a22a,10732,19.5
sg:0fd3e176e97146a38c3a752adbddd868,10355,32.0
sg:726699980073447aaa4590fd3fcf02af,10464,23.0
sg:7c75af5f2cc74f6dbfcc761a8a983af8,120988,25.0
sg:6d95f2273ecb424085aa9b7fc9705ed7,491239,72.0
sg:6329a3e48594482a8d951f1d083eda35,157256,28.0
sg:069bc39ee5f34ac3bfb3af68a3fc498d,10963,105.0
sg:b5b2858de75e46aba6cc774b42206d81,121012,17.0
sg:96a33db3e1e84a07b088060e045bea49,12837,12.0
sg:eaa3a86532fb45ecaa83c4a77e5d3731,88999,22.0
sg:dd340d1364354f74b0084e196c3f9232,118198,30.5
sg:e649a7d46ad6494680bf1ff0d093140d,4475,13.0
sg:391b15acf14a4a158fef41c1b060fbae,45378,12.0
sg:5adb556ae95447509d4aa94867a9c1c9,116527,26.0
sg:70b7ede8df9c44828e249f0c9fa3195c,1379,7.0
sg:d74e9389130b45e5bf0dd132968b77d1,3223,34.0
sg:fbabb7c4c0c2485288852df7b51104ae,2696,28.0
sg:dfae82b6f398432ebca0ca5f68464158,9478,9.0
sg:6554d76af7ac4f549167695296bb4ba0,151628,28.0
sg:8402a2fc14d8494fa9a6864f1ea48454,8085,11.0
sg:5ffee6f3dda04edf8f478e1952ca6549,17948,37.5
sg:506c3382889c4e33a9746732f5c2e6de,8451,21.0
sg:0dcfa30ba13a43d997e03a19df7879a2,52152,21.0
sg:bb7304ff577c4d4188f1469510802d92,12659,20.0
sg:c0398a84e64c49f2bcbab8bfc80cbb7a,10464,17.0
sg:bc6efbe987164513ba2440cdfbb13b85,3399,143.0
sg:6d77a8938eac48c89ffed7b8324c44b6,100302,11.0
sg:5042eaa028d9447591def68127241659,8984,18.0
sg:f2ff70c168884fb1ba55a873aba93cd1,8852,11.5
sg:3115359b46df414e88494da7261373e5,25727,20.5
sg:7a2f6f499023487aa23dbea85ca3dcfc,140965,40.0
