id,feet,median
sg:2d02992d38604bef8e54d7b3fe78e3cf,8810,15.0
sg:92a2f2f64e1a496e8e01a37f627e9882,18210,14.0
sg:bc8f67533eec4e7cbcd764ccef4984bf,31492,13.0
sg:4a590b24596f4dd4ab90f6af27993cc4,156081,22.0
sg:89bae3778d6446f0b4b69259f289186d,13025,13.0
sg:ccb6b99244e44cd8808c7f7bd83edbe7,12417,15.0
sg:d6dd98b88c2e49d7b00f9e8261d6dd18,9848,14.5
sg:5663630beee34dc5ae2bfe35f75e49d3,18334,21.0
sg:4c2333d0ab7343c69b8babfba1df29dc,11810,17.0
sg:4d7e0b7a658a4d32b1744097f21304a5,209347,26.0
sg:67cc8e420c3b46a8a00182c343fd6083,4168,13.0
sg:53c07ac6933b4890ade44b006d7a367a,18332,30.0
sg:40b2db4d179c4f5b9873f45e4422eb29,323403,58.0
sg:a352c5eda5bc490d9a9ed9569e1a3281,22011,18.0
sg:be5a72407ec64af3893b736ea0e4970c,229483,22.0
sg:eeff61fdda244f7bb621edbfa4ef9cb9,8625,16.0
sg:6324b58fb8f84d84b6e63730512fc0e1,394287,26.0
sg:986c2ebe524a4fa78adc83867e0d7439,9606,10.0
sg:81d36044388a484eabc6a10560f51f43,19297,15.0
sg:d1bddeccad2f48deba6a0002c70948d2,88021,21.0
sg:2140a1611775491cbdbe65846657b590,10569,15.5
sg:182ce8c50c4b4b94a20171fc15af5a21,25119,14.0
sg:0bbd500466744828a6030250a73cf81e,9611,18.0
sg:14af5bdafc9a4a9eab4699384483310d,63596,15.0
sg:d1fd0ddd6f884b0095c0f65d39e78dcd,12984,417.5
sg:d3a25719096241f4a01eaf9d4723b7a2,135445,21.0
sg:ddec0f5361524ccb96e289a660527fa9,9161,30.0
sg:f46fc8bee7514302b009e896bf919bb7,6475,13.0
sg:5c27bbf1f93b4d73b1f04315df43cf8a,9806,11.0
sg:f1870eabd0534fbd8f9ba367f25265d1,5696,20.0
sg:a726195dc9144b1187c3da3e4962f3fa,39393,20.0
sg:6d8a8e7c002648a7ad535b98e3bfaa18,16844,41.0
sg:e5aac90943514e04a9eb51280692f4b5,92116,16.0
sg:14f3cce066494f928dfbd3c7f71355fc,964,46.0
sg:596772af0c944c248a05856db96a3b58,7492,14.0
sg:2622b413678943ec925ed5238da1c359,124521,25.0
sg:6ef58d3a8d194ed697e29ebd7bf746b9,141342,77.0
sg:cc1deed579ec407fa4415172d8038564,8240,10.0
sg:ebf4bedcb7584b2c9d01fa8d03d90ee3,140865,21.0
sg:4c3b8dcd84ad4a48b363dadd45c0287c,7169,12.5
sg:af9c98fdcfaa4c4aac2916ae0caae8c8,10052,12.0
