id,feet,median
sg:81b4f63cae3c4c0abe2a53b1a30d9f5b,11065,12.0
sg:e8de75198ed945b2a4ff5d460899c92c,10260,12.0
sg:b3be2360d08b4e2caaf0d487dddf01be,66705,11.0
sg:3ff15c504e71412db56e059e12f07f97,11692,12.0
sg:f63c22e450f34985ba58dcb82014e137,9863,15.5
sg:7f734e77baa14c13a539f73b000caea1,6082,75.0
sg:ffe703ad0383424c90272337c4cbea2c,468822,22.0
sg:71c3f5b950a141aa8ab3a372a8c558af,10800,10.5
sg:15051e22f8854e69ac9a9ff3f31a2248,9004,111.0
sg:3868d3abbbca453ea502248453bf088b,9324,10.0
sg:0b7818a30b3a4c1d8f74e918ca8477dc,12341,54.0
sg:982caec7660d461390b7e092a2c1fa05,226273,22.5
sg:6750ecb7d4b44eecb63e0d83179e3089,13305,11.0
sg:1fc8efbdf85d477ebb2316863288e314,221838,22.0
sg:f38fa6016aab4f2db74f22af53ccdd10,8899,30.0
sg:041c75621a4c41d09c190a016df54941,14293,13.0
sg:a0c8e59633af4e2ebb0eb635bce0de95,37377,32.0
sg:a825ee46799d4ed29f513d653de594ae,1482,18.0
sg:df200497617c434dbc3b237052b23a11,57554,23.0
sg:55a1e0b068dd4870bb3147e3d3623e16,41291,18.0
sg:7c6259ca98674aaaacaa5220394050df,17276,20.0
sg:4d240b005d974c3787bccf6c9774cf86,131754,24.0
sg:c4b1a2ac77bb4287910f205aa1a650b8,7757,11.0
sg:6fe906a769f44e24914a3be03d236e40,9866,11.0
sg:27f6a82156be4f43895549033badb5f4,10380,19.0
sg:05cce98bf0f044388a9ff05f387afb60,11929,13.0
sg:7a07885a410f47d0bd037bf476cb5521,135098,15.0
sg:15caa07344a64c44a37afe7cb14acea1,9818,9.0
sg:b7f7dfe6da174012ae4436a64eaac116,8753,14.0
sg:1aa4ca10b8da46e09eb075a8a76471c7,9311,10.5
sg:c35eb0b84d6140b8b19b4a573c2708e0,13305,11.0
sg:6a9883008ce04b528a7e5f63564646e7,8450,21.0
sg:f599dbc5f0e245d3935adb945a79f34c,388041,22.0
sg:115e664dbae8498ebd2b2b4460f98300,7997,10.0
sg:94f9897bdc604e42b6f1d635d87013bf,8637,12.0
sg:64f56381f71541148657c5a7373ebca2,14089,43.0
sg:daffea0de24a4c14beba53563462e27c,96410,12.0
sg:2f591e4faea7452ba10da7a3d6b849bf,58544,17.5
sg:796cfd91bd7248369ee690afc05b2e13,430021,22.0
sg:de1af337597d4842911d2fa1a23a01ae,10961,36.5
sg:ca0d8a3da1064092b413d16af68b7bf5,6086,38.0
sg:74eae244653a468e82758bae9374e627,15003,27.0
sg:25ab73aedde24961ae1bcd059085798d,149171,24.0
sg:27c9774eddde480eb81ef4696d313aad,9020,11.0
sg:405e127d9e184f63b60f19ef3ad60071,10509,14.0
sg:71b8525f0a1f40e1b0f5626d4819c22c,7505,10.0
sg:88a896325ca54e3ca6b77213f6addad3,6430,12.5
sg:8201fcdd0fe14718b01dd5eb9fdcc922,1860,97.0
sg:a0526dadc4bd47c29271792de1d68d85,9691,12.0
sg:5f3bdfe7be9e453194ce9046d46f9418,183297,22.0
sg:4de85b7090cf4593879517130fa8f32d,7894,10.0
sg:eefafbdc85934c61acc749dac21df4d4,10563,13.0
sg:a0e19a63fc224cca9ea1c2d1096489d5,9744,14.0
sg:7b88bfe415244a36abda01df5d7f28c5,3940,16.0
sg:64f5ea9b389d49db81b113230da047a0,8179,19.0
sg:6bb12770ab574f2abe7b3abb64f6f631,157795,23.0
sg:9a63ab3e1e124f2499cbf22c00b97af1,7961,10.0
sg:6435b696de7f453b9783be29c5b79f51,9295,11.0
sg:f152222a0b7345c58e482947eb68ea7a,8945,12.0
sg:067b9ca7bd2445e3a3280cfb38fca7a2,7739,10.0
sg:8c619ee590bf44ac9859d04b8731fc8a,206984,22.0
sg:c6c9f7fcfe364df1825134b725cf8c8e,22829,37.5
sg:e3aec9fbd6684027847b8c1a268fc593,198086,64.0
sg:87d44ebd6c4c40e695f76d93858b702e,9659,10.0
